Hour,Inertia,RoCoF,Deltaf_nadir_re,Deltaf_nadir_rg_2,Inertia_energy,Net_Demand,pl,rb_per_hour,re_per_hour,rg_per_hour
1,2.47311828,0.333951763,0.033396255,0,143.75,19.45,1800,1709.942335,89.99954,0
2,2.47311828,0.333951763,0.033396255,0,143.75,19.45,1800,0,1799.941875,0
3,2.47311828,0.333951763,0.033396255,0,143.75,19.45,1800,1709.942335,89.99954,0
4,2.47311828,0.333951763,0.033396255,0,143.75,19.45,1800,0,1799.941875,0
5,2.47311828,0.333951763,0.033396255,0,143.75,19.45,1800,1709.942335,89.99954,0
6,2.47311828,0.333951763,0.033396255,0,143.75,19.45,1800,0,1799.941875,0
7,2.47311828,0.333951763,0.033396255,0,143.75,24.28792143,1800,0,1799.941875,0
8,2.47311828,0.333951763,0.033396255,0,143.75,33.35185261,1800,0,1799.941875,0
9,2.47311828,0.333951763,0.033396255,0,143.75,33.45792143,1800,1709.942335,89.99954,0
10,2.47311828,0.333951763,0.033396255,0,143.75,34.10468711,1800,1709.942335,89.99954,0
11,2.47311828,0.333951763,0.033396255,0,143.75,34.65656985,1800,0,1799.941875,0
12,2.47311828,0.333951763,0.033396255,0,143.75,31.91805954,1800,1709.942335,89.99954,0
13,2.47311828,0.333951763,0.033396255,0,143.75,30.43792143,1800,0,1799.941875,0
14,2.47311828,0.333951763,0.033396255,0,143.75,28.30542143,1800,0,1799.941875,0
15,2.47311828,0.333951763,0.033396255,0,143.75,26.18792143,1800,629.944375,1169.9975,0
16,2.47311828,0.333951763,0.033396255,0,143.75,25.75792143,1800,0,1799.941875,0
17,2.47311828,0.333951763,0.033396255,0,143.75,31.73292143,1800,1709.942335,89.99954,0
18,2.438709677,0.338983051,0.0338994,0,141.75,30.86792143,1800,0,1799.941875,0
19,2.266666667,0.366598778,0.036661062,0,131.75,28.30792143,1800,0,1799.941875,0
20,2.197849462,0.378947368,0.037895961,0,127.75,27.74292143,1800,0,1799.941875,0
21,2.197849462,0.378947368,0.037895961,0,127.75,27.41792143,1800,0,1799.941875,0
22,1.784946237,0.474934037,0.047494937,0,103.75,21.16792143,1800,0,1799.941875,0
23,1.750537634,0.485175202,0.048519087,0,101.75,15.09792143,1800,629.944375,1169.9975,0
24,1.716129032,0.495867769,0.049588378,0,99.75,14.25792143,1800,0,1799.941875,0
