RG,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"Scenario SB,  Case DH",936.9907299,936.9907487,936.9907638,936.9907576,936.9907111,936.9907626,951.5884278,817.2662917,817.241278,817.234067,817.1567916,817.2377058,951.5884881,951.5884487,951.5885053,951.5884834,817.2443903,951.5885723,951.5884249,951.5884365,951.5884522,951.5885189,674.2313848,615.8407013
"Scenario SB,  Case DL",718.0238366,718.0238325,718.0244732,718.0248085,718.0248765,718.0243609,761.8186887,451.2343002,451.2343001,451.2342999,451.2343004,451.2343016,451.2343557,761.8173654,761.8168144,761.8175866,451.2343006,451.2343017,761.817371,761.8173508,761.817354,732.6198816,382.2775423,354.7285892
"Scenario SB,  Case EH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scenario SB,  Case EL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario PD, Case D",922.3935281,922.3934522,893.1979554,893.1979127,893.1979165,893.1979624,893.1979711,776.9671571,776.9666249,776.9655077,776.9893574,776.9878229,776.974751,893.1979926,893.1979707,893.1979632,776.9206722,776.9682375,893.1979895,893.1979894,893.1979735,893.1979634,674.2285085,630.9234
"Scenario PD, Case E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario SHP,  Case DH",936.9918755,936.9920247,936.9908478,936.9929312,936.9931845,936.992218,951.5902114,669.9587004,669.9868299,669.9789392,669.9915584,669.9698981,951.5878602,951.590611,951.589543,951.5900265,670.0574079,951.5831402,951.5904296,951.590663,951.5906926,951.5897244,674.2320397,630.4399462
"Scenario SHP,  Case DL",718.0253519,718.006566,718.0154942,718.0085679,718.0082947,717.999454,761.8585985,569.0612296,569.1083067,569.3447366,570.6386968,569.5883672,567.9121926,761.8364323,761.9080849,761.9311652,568.8799423,568.9023174,761.8084312,761.7679404,761.8200699,732.5969469,366.2682635,356.0997929
"Scenario SHP,  Case EH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scenario SHP,  Case EL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
