Hour,Inertia,RoCoF,Inertia_energy,Net_Demand,pl,rb_per_hour,re_per_hour,rg_per_hour
1,1.9913978494623656,0.4215456674473068,115.75,15.949999999999996,1800.0,1263.3454188285173,0.0,653.7612192132019
2,1.9913978494623656,0.4215456674473068,115.75,15.950000000000003,1800.0,1263.3454188285186,0.0,653.7612192131985
3,1.9913978494623656,0.4215456674473068,115.75,15.95000000000001,1800.0,1263.3454188285173,0.0,653.7612192132019
4,1.9913978494623656,0.4215456674473068,115.75,15.95,1800.0,1263.3454188285173,0.0,653.7612192132019
5,1.9913978494623656,0.4215456674473068,115.75,15.950000000000003,1800.0,1263.3454188285173,0.0,653.7612192132019
6,1.9913978494623656,0.4215456674473068,115.75,15.950000000000003,1800.0,1263.3454188285295,0.0,653.761219213174
7,2.060215053763441,0.40632054176072235,119.75,19.143965255800005,1800.0,1252.5242753158414,0.0,655.1560318584623
8,2.060215053763441,0.40632054176072235,119.75,28.264174659863595,1800.0,1334.9220031887962,0.0,477.9370904726264
9,2.060215053763441,0.40632054176072235,119.75,28.312046006956322,1800.0,1334.9220031888208,0.0,477.93709047260023
10,2.060215053763441,0.40632054176072235,119.75,29.082046006956322,1800.0,1324.3851647374129,0.0,500.5860108027231
11,2.060215053763441,0.40632054176072235,119.75,29.603216929833334,1800.0,1308.623175644113,0.0,534.2606914431391
12,2.060215053763441,0.40632054176072235,119.75,26.815949720128735,1800.0,1334.9209385034274,0.0,477.93818473258915
13,2.060215053763441,0.40632054176072235,119.75,25.293965255800007,1800.0,1334.9209385034274,0.0,477.93818473258915
14,2.060215053763441,0.40632054176072235,119.75,23.161465255800003,1800.0,1227.5792517239677,0.0,721.6500082294925
15,2.060215053763441,0.40632054176072235,119.75,21.043965255800007,1800.0,1227.5792517239677,0.0,721.6500082294926
16,2.060215053763441,0.40632054176072235,119.75,20.613965255800004,1800.0,1227.5792517239202,0.0,721.6500082296182
17,2.060215053763441,0.40632054176072235,119.75,26.608974676364365,1800.0,1309.9385424195445,25.0,477.92009181880127
18,2.060215053763441,0.40632054176072235,119.75,25.71430204392567,1800.0,1334.9385424195461,0.0,477.92009181879973
19,2.060215053763441,0.40632054176072235,119.75,23.188965255800003,1800.0,1200.1647431915142,25.0,727.6505029596967
20,2.060215053763441,0.40632054176072235,119.75,22.650404910972412,1800.0,1224.5372831832128,0.0,729.2137968504934
21,2.060215053763441,0.40632054176072235,119.75,22.2739652558,1800.0,1222.501492076871,0.0,734.2970928621884
22,1.9913978494623656,0.4215456674473068,115.75,16.0239652558,1800.0,1266.3737707443825,0.0,646.3581766453295
23,1.3720430107526882,0.49469964664310956,79.75,9.9539652558,1400.0,1058.4087252344068,0.0,407.04148904785495
24,1.3720430107526882,0.494699646643109,79.75,9.84999999999998,1399.9999999999984,1088.4029032108178,0.0,330.0876731204344
