Hour,Inertia,RoCoF,Deltaf_nadir_re,Deltaf_nadir_rg_2,Inertia_energy,Net_Demand,pl,rb_per_hour,re_per_hour,rg_per_hour
1,2.47311828,0.333951763,0.055796543,0.79554731,143.75,19.71609646,1800,751.2102395,326.1202458,936.9937988
2,2.47311828,0.333951763,0.055796537,0.79554731,143.75,19.66624268,1800,749.8295655,327.5010479,936.9934695
3,2.47311828,0.333951763,0.055796543,0.795547309,143.75,19.68103183,1800,752.5712711,324.7592168,936.993792
4,2.47311828,0.333951763,0.055796485,0.795547309,143.75,19.69069732,1800,754.2553011,323.0763216,936.9908749
5,2.47311828,0.333951763,0.055796466,0.795547309,143.75,19.72824341,1800,762.0843296,315.2476485,936.9899607
6,2.47311828,0.333951763,0.055796497,0.795547309,143.75,19.6872012,1800,754.6730418,322.6583449,936.9914811
7,2.47311828,0.333951763,0.055796481,0.795547309,143.75,24.15654441,1800,750.952576,326.3791172,936.9906936
8,2.47311828,0.333951763,0.048285138,0.780098287,143.75,33.25395617,1800,885.7215619,359.2022287,555.0180854
9,2.47311828,0.333951763,0.048285138,0.780098285,143.75,33.31395617,1800,886.4463336,358.4774583,555.018084
10,2.47311828,0.333951763,0.048285138,0.780098274,143.75,34.08395617,1800,892.7161615,352.2076387,555.0180756
11,2.47311828,0.333951763,0.048285138,0.780098285,143.75,34.61395617,1800,897.9319375,346.9918541,555.0180842
12,2.47311828,0.333951763,0.048285137,0.78009825,143.75,31.84895617,1800,880.5776622,364.3461558,555.0180587
13,2.47311828,0.333951763,0.055796424,0.795547309,143.75,30.30669574,1800,755.4039859,321.9288137,936.9878493
14,2.47311828,0.333951763,0.055796488,0.795547309,143.75,28.17569446,1800,752.5971112,324.7344385,936.9910626
15,2.47311828,0.333951763,0.055796513,0.795547309,143.75,26.05870749,1800,751.45765,325.873427,936.9922777
16,2.47311828,0.333951763,0.055796502,0.795547309,143.75,25.62915777,1800,750.9497322,326.3815575,936.9917309
17,2.47311828,0.333951763,0.048285138,0.78009828,143.75,31.58895617,1800,882.8316396,362.0921564,555.0180793
18,2.47311828,0.333951763,0.055795112,0.795546505,143.75,30.72838916,1800,758.2130166,319.1451173,936.9236946
19,2.47311828,0.333951763,0.055796487,0.795547309,143.75,28.17973343,1800,754.1254596,323.2061248,936.9909733
20,2.47311828,0.333951763,0.055796499,0.795547309,143.75,27.61489497,1800,754.0460766,323.2852688,936.9915876
21,2.47311828,0.333951763,0.0557965,0.795547309,143.75,27.28992975,1800,752.0798542,325.2514735,936.9916332
22,2.47311828,0.333951763,0.05579647,0.795547309,143.75,21.0405913,1800,744.8192302,332.512683,936.9901278
23,1.853763441,0.455696203,0.064082809,0.79392405,107.75,15.00210592,1800,882.7941936,397.1952033,674.2293859
24,1.750537634,0.485175202,0.0664744,0.793530997,101.75,14.21939618,1800,899.3431996,414.4187338,630.4454672
