Daily Reserve,,,
Reserve,RG,RE,RB
"SB,  DH",19626.57833,8142.992276,19157.63113
"SB,  DL",15411.98315,0,29794.40826
" SB, EH",0,28071.06182,15127.54318
"SB,  EL",0,0,42398.66313
,,,
,,,
" PD, D",20068.46683,7385.691873,19992.95335
" PD, E",0,6000.00158,37198.60342
