rocof,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"SB,  DH",0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.455696203,0.485175202
"SB,  DL",0.421545667,0.421545667,0.421545667,0.421545667,0.421545667,0.421545667,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.421545667,0.494699647,0.494699647
" SB, EH",0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.338983051,0.338983051,0.338983051,0.338983051,0.338983051,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.338983051,0.366598778,0.372670807,0.378947368,0.474934037,0.474934037,0.485175202
"SB,  EL",0.429594272,0.429594272,0.429594272,0.429594272,0.429594272,0.429594272,0.429594272,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.446650124,0.455696203,0.455696203,0.465116279,0.494699647,0.494699647
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
" PD, D",0.338983051,0.338983051,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.455696203,0.495867769
" PD, E",0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.372670807,0.378947368,0.385438972,0.485175202,0.495867769,0.495867769
