Total_reserve,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"SB,  DH",2014,2014,2014,2014,2014,2014,2014,1800,1800,1800,1800,1800,2014,2014,2014,2014,1800,2014,2014,2014,2014,2014,1954,1944
"SB,  DL",1968,1968,1968,1968,1968,1968,1974,1824,1824,1824,1824,1824,1824,1974,1974,1974,1824,1824,1974,1974,1974,1968,1510,1509
" SB, EH",1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
"SB,  EL",1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1400,1400
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
" PD, D",2011,2011,2004,2004,2004,2004,2004,1935,1935,1935,1935,1935,1935,2004,2004,2004,1935,1935,2004,2004,2004,2004,1954,1941
" PD, E",1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
