Net demand,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"SB,  DH",19.7,19.7,19.7,19.7,19.7,19.7,24.2,33.3,33.3,34.1,34.6,31.8,30.3,28.2,26.1,25.6,31.6,30.7,28.2,27.6,27.3,21,15,14.2
"SB,  DL",16,16,16,16,16,16,19.1,28.2,28.3,29.1,29.6,26.9,25.3,23.2,21,20.6,26.6,25.7,23.2,22.7,22.3,16,10,9.8
" SB, EH",19.5,19.5,19.5,19.5,19.5,19.2,24.1,33.3,33.3,34.1,34.6,31.8,30.3,28.2,26,25.6,31.6,30.7,28.2,27.6,27.3,21,15,14.2
"SB,  EL",16.2,15.7,16,16.2,15.7,15.8,19.1,28.2,28.3,29.1,29.6,26.8,25.3,23.2,21,20.6,26.6,25.7,23.2,22.6,22.3,16,10,9.9
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
" PD, D",19.2,19.2,18.7,18.7,18.7,18.7,24.1,30.5,30.5,30.7,31.1,30.1,29.8,28.2,26,25.6,30.5,30.1,28.2,27.6,27.3,21,15,14.1
" PD, E",19.2,19.2,18.5,18.5,18.5,18.5,24.1,30.7,30.4,32.4,31.7,29.7,29.4,28.2,26,25.6,29.7,29.6,28.2,27.6,27.2,20.8,15,14.1
