Deltaf,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"SB,  DH",0.79554731,0.79554731,0.795547309,0.795547309,0.795547309,0.795547309,0.795547309,0.780098287,0.780098285,0.780098274,0.780098285,0.78009825,0.795547309,0.795547309,0.795547309,0.795547309,0.78009828,0.795546505,0.795547309,0.795547309,0.795547309,0.795547309,0.79392405,0.793530997
"SB,  DL",0.7943791,0.794379103,0.794379144,0.794379113,0.794379098,0.794379114,0.794582181,0.794582392,0.794582391,0.794582391,0.794582366,0.794582378,0.794582391,0.794582219,0.794582209,0.794582207,0.794582386,0.794582368,0.794582218,0.79458221,0.794582139,0.794379375,0.791517107,0.791519378
" SB, EH",0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.0338994,0.0338994,0.0338994,0.0338994,0.0338994,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.0338994,0.036661062,0.037268284,0.037895961,0.047494937,0.047494937,0.048519087
"SB,  EL",0.042960814,0.042960814,0.042960814,0.042960814,0.042960814,0.042960814,0.042960814,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.044666455,0.045571092,0.045571092,0.04651313,0.049472019,0.049469965
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
" PD, D",0.795480225,0.795480226,0.795339806,0.795339806,0.795339806,0.795339805,0.795339806,0.795339799,0.795339803,0.795339794,0.795339789,0.795339801,0.795339792,0.795339806,0.795339806,0.795339806,0.795339805,0.79533979,0.795339806,0.795339806,0.795339806,0.795339806,0.79392405,0.79338843
" PD, E",0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.037268284,0.037895961,0.038545142,0.048519087,0.049588378,0.049588378
