Hour,Inertia,RoCoF,Deltaf_nadir_re,Deltaf_nadir_rg_2,Inertia_energy,Net_Demand,pl,rb_per_hour,re_per_hour,rg_per_hour
1,2.3354838709677423,0.35502958579881655,0.03550410506660776,0,135.75,19.1839561758,1800.0,1529.9426749999998,269.99920000000003,0.0
2,2.3354838709677423,0.35502958579881655,0.035504105066607755,0,135.75,19.2439561758,1800.0,1349.942435,449.9994400000001,0.0
3,2.3354838709677423,0.35502958579881655,0.03550410506660777,0,135.75,18.450000000000003,1800.0,1709.942335,89.99954000000001,0.0
4,2.3354838709677423,0.35502958579881655,0.035504105066607755,0,135.75,18.449999999999992,1800.0,1349.942435,449.9994400000001,0.0
5,2.3354838709677423,0.35502958579881655,0.03550410506660777,0,135.75,18.450000000000003,1800.0,1259.942895,539.9989800000001,0.0
6,2.3354838709677423,0.35502958579881655,0.03550410506660777,0,135.75,18.449999999999996,1800.0,1169.9427749999998,629.9991000000001,0.0
7,2.3354838709677423,0.35502958579881655,0.03550410506660777,0,135.75,24.1439561758,1800.0,1799.941875,0.0,0.0
8,2.3354838709677423,0.35502958579881655,0.035504105066607755,0,135.75,30.68612216940001,1800.0,1649.9301149999967,150.0117600000033,0.0
9,2.3354838709677423,0.35502958579881655,0.03550410506660777,0,135.75,30.37575615833793,1800.0,1799.941875,0.0,0.0
10,2.3354838709677423,0.35502958579881655,0.03550410506660777,0,135.75,32.38029405549655,1800.0,1709.942335,89.99954000000001,0.0
11,2.3354838709677423,0.35502958579881655,0.03550410506660776,0,135.75,31.664386323279306,1800.0,1619.9422149999998,179.99966,0.0
12,2.3354838709677423,0.35502958579881655,0.035504105066607755,0,135.75,29.700000000000003,1800.0,1349.942435,449.9994400000001,0.0
13,2.3354838709677423,0.35502958579881655,0.035504105066607755,0,135.75,29.42978142965862,1800.0,1619.942215,179.99966,0.0
14,2.3354838709677423,0.35502958579881655,0.03550410506660776,0,135.75,28.161456175799998,1800.0,1169.9433549999997,629.9985200000001,0.0
15,2.3354838709677423,0.35502958579881655,0.03550410506660776,0,135.75,26.0439561758,1800.0,1619.9422149999998,179.99966,0.0
16,2.3354838709677423,0.35502958579881655,0.03550410506660777,0,135.75,25.6139561758,1800.0,1799.941875,0.0,0.0
17,2.3354838709677423,0.35502958579881655,0.03550410506660777,0,135.75,29.700000000000006,1800.0,1799.941875,0.0,0.0
18,2.3354838709677423,0.35502958579881655,0.035504105066607755,0,135.75,29.649825152899993,1800.0,1349.942435,449.9994400000001,0.0
19,2.2322580645161296,0.37267080745341613,0.037268284200352254,0,129.75,28.1639561758,1800.0,1799.941875,0.0,0.0
20,2.1978494623655918,0.37894736842105264,0.03789596056583186,0,127.75,27.598956175799998,1800.0,1349.942435,449.9994400000001,0.0
21,2.163440860215054,0.3854389721627409,0.03854514190314805,0,125.75,27.19999999999999,1800.0,1799.941875,0.0,0.0
22,1.7505376344086023,0.48517520215633425,0.048519086977817094,0,101.75,20.838773766968963,1800.0,1799.941875,0.0,0.0
23,1.7161290322580647,0.49586776859504134,0.04958837815088192,0,99.75,14.953956175799995,1800.0,1799.941875,0.0,0.0
24,1.7161290322580647,0.49586776859504134,0.04958837815088192,0,99.75,14.113956175799999,1800.0,989.9431149999998,809.9987600000002,0.0
